Query,Rank,Neighbor,Cosine,Error
sinh_viên,1,sv,0.7981586456298828,
sinh_viên,2,du_học_sinh,0.678442120552063,
sinh_viên,3,hs-sv,0.6702902913093567,
sinh_viên,4,học_viên,0.6616679430007935,
sinh_viên,5,lưu_học_sinh,0.6281953454017639,
sinh_viên,6,giảng_viên,0.60367751121521,
sinh_viên,7,học_sinh,0.5898551344871521,
sinh_viên,8,nghiên_cứu_sinh,0.5815644264221191,
sinh_viên,9,giáo_viên,0.5688154697418213,
sinh_viên,10,nam_sinh,0.5621475577354431,
thông_minh,1,nhạy_bén,0.5992634296417236,
thông_minh,2,khôn_ngoan,0.5814961194992065,
thông_minh,3,nhanh_nhạy,0.579970121383667,
thông_minh,4,sáng_suốt,0.5540212988853455,
thông_minh,5,quyết_đoán,0.535211980342865,
thông_minh,6,lanh_lẹ,0.5338147878646851,
thông_minh,7,nhanh_nhẹn,0.5313283801078796,
thông_minh,8,lanh_lợi,0.5156210064888,
thông_minh,9,năng_động,0.5089207887649536,
thông_minh,10,thông_thái,0.5047388076782227,
vui_vẻ,1,hào_hứng,0.6534059047698975,
vui_vẻ,2,phấn_chấn,0.6231628060340881,
vui_vẻ,3,vui,0.6137105226516724,
vui_vẻ,4,sảng_khoái,0.5932362675666809,
vui_vẻ,5,thoải_mái,0.5707595944404602,
vui_vẻ,6,hứng_khởi,0.5528414845466614,
vui_vẻ,7,hồ_hởi,0.5512576699256897,
vui_vẻ,8,niềm_nở,0.5483839511871338,
vui_vẻ,9,cởi_mở,0.5482997298240662,
vui_vẻ,10,tươi_tỉnh,0.547091007232666,
học,1,dạy,0.6132234334945679,
học,2,tự_học,0.580798864364624,
học,3,học_toán,0.5755742192268372,
học,4,du_học,0.5717994570732117,
học,5,tu_nghiệp,0.5459203124046326,
học,6,ôn_luyện,0.5411463379859924,
học,7,việc_học,0.5266231298446655,
học,8,có_học,0.5236999988555908,
học,9,vốn_học,0.5233948826789856,
học,10,học_khóa,0.5226167440414429,
thành_phố,1,thủ_đô,0.603579044342041,
thành_phố,2,khu_ổ_chuột,0.533602774143219,
thành_phố,3,thành_phố_hà_nội,0.5251383185386658,
thành_phố,4,thành_phố_paris,0.5055777430534363,
thành_phố,5,tiểu_bang,0.5009119510650635,
thành_phố,6,tp,0.5008898377418518,
thành_phố,7,vùng_ngoại_ô,0.4975637197494507,
thành_phố,8,thành_phố_hồ_chí_minh,0.4864440858364105,
thành_phố,9,con_phố,0.4860529601573944,
thành_phố,10,bang,0.48430365324020386,
